"run","Crit Damage","Min Damage","Max Damage"
2,80.0,20.0,33.0
4,80.0,20.0,33.0
6,80.0,20.0,33.0
8,80.0,20.0,33.0
10,80.0,20.0,33.0
12,80.0,20.0,33.0
14,80.0,20.0,33.0
16,80.0,20.0,33.0
18,80.0,20.0,33.0
20,80.0,20.0,33.0
22,80.0,20.0,33.0
24,80.0,20.0,33.0
26,80.0,20.0,33.0
1,80.0,20.0,33.0
3,80.0,20.0,33.0
5,80.0,20.0,33.0
7,80.0,20.0,33.0
9,80.0,20.0,33.0
11,80.0,20.0,33.0
13,80.0,20.0,33.0
15,80.0,20.0,33.0
17,80.0,20.0,33.0
19,80.0,20.0,33.0
21,80.0,20.0,33.0
23,80.0,20.0,33.0
25,80.0,20.0,33.0
