"run","randomSeed","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
2,-1537289892,20,80,100,1,33,200
4,-1537261186,20,80,100,3,33,200
6,-1537245491,20,80,100,5,33,200
8,-1537218541,20,80,100,7,33,200
10,-1537193194,20,80,100,9,33,200
12,-1537162549,20,80,100,11,33,200
14,-1537143638,20,80,100,13,33,200
16,-1537124932,20,80,100,15,33,200
1,-1537289697,20,80,100,0,33,200
3,-1537262991,20,80,100,2,33,200
5,-1537235796,20,80,100,4,33,200
7,-1537208650,20,80,100,6,33,200
9,-1537190537,20,80,100,8,33,200
11,-1537163989,20,80,100,10,33,200
13,-1537144460,20,80,100,12,33,200
15,-1537117104,20,80,100,14,33,200
