"run","CT Health","T Health","Min Damage","Max Damage","Crit Chance","Crit Damage"
4,200.0,100.0,20.0,33.0,3.0,80.0
8,200.0,100.0,20.0,33.0,7.0,80.0
12,200.0,100.0,20.0,33.0,11.0,80.0
16,200.0,100.0,20.0,33.0,15.0,80.0
3,200.0,100.0,20.0,33.0,2.0,80.0
7,200.0,100.0,20.0,33.0,6.0,80.0
11,200.0,100.0,20.0,33.0,10.0,80.0
15,200.0,100.0,20.0,33.0,14.0,80.0
2,200.0,100.0,20.0,33.0,1.0,80.0
6,200.0,100.0,20.0,33.0,5.0,80.0
10,200.0,100.0,20.0,33.0,9.0,80.0
14,200.0,100.0,20.0,33.0,13.0,80.0
1,200.0,100.0,20.0,33.0,0.0,80.0
5,200.0,100.0,20.0,33.0,4.0,80.0
9,200.0,100.0,20.0,33.0,8.0,80.0
13,200.0,100.0,20.0,33.0,12.0,80.0
