"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
8,-1347610188,"A_SPLIT",10,60,50,5,33,150
16,-1347565499,"A_SPLIT",10,60,50,10,40,100
24,-1347547358,"A_SPLIT",10,60,50,15,40,200
32,-1347528584,"A_SPLIT",10,60,50,25,33,150
40,-1347518666,"A_SPLIT",10,60,100,0,40,100
48,-1347492661,"A_SPLIT",10,60,100,5,40,200
56,-1347473316,"A_SPLIT",10,60,100,15,33,150
64,-1347454572,"A_SPLIT",10,60,100,20,40,100
72,-1347404111,"A_SPLIT",10,60,100,25,40,200
80,-1347385773,"A_SPLIT",10,60,150,5,33,150
88,-1347365232,"A_SPLIT",10,60,150,10,40,100
96,-1347339279,"A_SPLIT",10,60,150,15,40,200
104,-1347294154,"A_SPLIT",10,60,150,25,33,150
112,-1347268366,"A_SPLIT",10,80,50,0,40,100
120,-1347249654,"A_SPLIT",10,80,50,5,40,200
128,-1347230938,"A_SPLIT",10,80,50,15,33,150
136,-1347212192,"A_SPLIT",10,80,50,20,40,100
144,-1347202308,"A_SPLIT",10,80,50,25,40,200
152,-1347184395,"A_SPLIT",10,80,100,5,33,150
160,-1347152837,"A_SPLIT",10,80,100,10,40,100
168,-1347127478,"A_SPLIT",10,80,100,15,40,200
176,-1347108771,"A_SPLIT",10,80,100,25,33,150
184,-1347082430,"A_SPLIT",10,80,150,0,40,100
192,-1347063286,"A_SPLIT",10,80,150,5,40,200
200,-1347028861,"A_SPLIT",10,80,150,15,33,150
208,-1346978063,"A_SPLIT",10,80,150,20,40,100
216,-1346951689,"A_SPLIT",10,80,150,25,40,200
224,-1346903285,"A_SPLIT",10,100,50,5,33,150
232,-1346885358,"A_SPLIT",10,100,50,10,40,100
240,-1346840003,"A_SPLIT",10,100,50,15,40,200
248,-1346822062,"A_SPLIT",10,100,50,25,33,150
256,-1346812186,"A_SPLIT",10,100,100,0,40,100
264,-1346764265,"A_SPLIT",10,100,100,5,40,200
272,-1346718427,"A_SPLIT",10,100,100,15,33,150
280,-1346700516,"A_SPLIT",10,100,100,20,40,100
288,-1346681790,"A_SPLIT",10,100,100,25,40,200
296,-1346663452,"A_SPLIT",10,100,150,5,33,150
304,-1346635690,"A_SPLIT",10,100,150,10,40,100
312,-1346609901,"A_SPLIT",10,100,150,15,40,200
320,-1346589981,"A_SPLIT",10,100,150,25,33,150
328,-1346539293,"A_SPLIT",25,60,50,0,40,100
336,-1346521177,"A_SPLIT",25,60,50,5,40,200
344,-1346503660,"A_SPLIT",25,60,50,15,33,150
352,-1346485751,"A_SPLIT",25,60,50,20,40,100
360,-1346467635,"A_SPLIT",25,60,50,25,40,200
368,-1346457764,"A_SPLIT",25,60,100,5,33,150
376,-1346410108,"A_SPLIT",25,60,100,10,40,100
384,-1346384961,"A_SPLIT",25,60,100,15,40,200
392,-1346339744,"A_SPLIT",25,60,100,25,33,150
400,-1346321830,"A_SPLIT",25,60,150,0,40,100
408,-1346296874,"A_SPLIT",25,60,150,5,40,200
416,-1346262692,"A_SPLIT",25,60,150,15,33,150
424,-1346236727,"A_SPLIT",25,60,150,20,40,100
432,-1346211366,"A_SPLIT",25,60,150,25,40,200
440,-1346159186,"A_SPLIT",25,80,50,5,33,150
448,-1346141143,"A_SPLIT",25,80,50,10,40,100
456,-1346128862,"A_SPLIT",25,80,50,15,40,200
464,-1346110529,"A_SPLIT",25,80,50,25,33,150
472,-1346101057,"A_SPLIT",25,80,100,0,40,100
480,-1346075115,"A_SPLIT",25,80,100,5,40,200
488,-1346053974,"A_SPLIT",25,80,100,15,33,150
496,-1346005408,"A_SPLIT",25,80,100,20,40,100
504,-1345979864,"A_SPLIT",25,80,100,25,40,200
512,-1345948521,"A_SPLIT",25,80,150,5,33,150
520,-1345914334,"A_SPLIT",25,80,150,10,40,100
528,-1345889368,"A_SPLIT",25,80,150,15,40,200
536,-1345838219,"A_SPLIT",25,80,150,25,33,150
544,-1345812060,"A_SPLIT",25,100,50,0,40,100
552,-1345796550,"A_SPLIT",25,100,50,5,40,200
560,-1345784059,"A_SPLIT",25,100,50,15,33,150
568,-1345766148,"A_SPLIT",25,100,50,20,40,100
576,-1345747632,"A_SPLIT",25,100,50,25,40,200
584,-1345738355,"A_SPLIT",25,100,100,5,33,150
592,-1345712011,"A_SPLIT",25,100,100,10,40,100
600,-1345664253,"A_SPLIT",25,100,100,15,40,200
608,-1345645314,"A_SPLIT",25,100,100,25,33,150
616,-1345619403,"A_SPLIT",25,100,150,0,40,100
624,-1345594059,"A_SPLIT",25,100,150,5,40,200
632,-1345545156,"A_SPLIT",25,100,150,15,33,150
640,-1345494433,"A_SPLIT",25,100,150,20,40,100
648,-1345468861,"A_SPLIT",25,100,150,25,40,200
656,-1345440502,"A_RUSH",10,60,50,5,33,150
664,-1345415149,"A_RUSH",10,60,50,10,40,100
672,-1345389392,"A_RUSH",10,60,50,15,40,200
680,-1345336226,"A_RUSH",10,60,50,25,33,150
688,-1345309685,"A_RUSH",10,60,100,0,40,100
696,-1345284929,"A_RUSH",10,60,100,5,40,200
704,-1345259969,"A_RUSH",10,60,100,15,33,150
712,-1345234623,"A_RUSH",10,60,100,20,40,100
720,-1345210077,"A_RUSH",10,60,100,25,40,200
728,-1345179118,"A_RUSH",10,60,150,5,33,150
736,-1345153981,"A_RUSH",10,60,150,10,40,100
744,-1345129027,"A_RUSH",10,60,150,15,40,200
752,-1345103681,"A_RUSH",10,60,150,25,33,150
760,-1345078534,"A_RUSH",10,80,50,0,40,100
768,-1345052407,"A_RUSH",10,80,50,5,40,200
776,-1345024469,"A_RUSH",10,80,50,15,33,150
784,-1344976587,"A_RUSH",10,80,50,20,40,100
792,-1344957664,"A_RUSH",10,80,50,25,40,200
800,-1344898313,"A_RUSH",10,80,100,5,33,150
808,-1344870758,"A_RUSH",10,80,100,10,40,100
816,-1344845800,"A_RUSH",10,80,100,15,40,200
824,-1344810807,"A_RUSH",10,80,100,25,33,150
832,-1344785845,"A_RUSH",10,80,150,0,40,100
840,-1344761306,"A_RUSH",10,80,150,5,40,200
848,-1344736163,"A_RUSH",10,80,150,15,33,150
856,-1344710819,"A_RUSH",10,80,150,20,40,100
864,-1344686274,"A_RUSH",10,80,150,25,40,200
872,-1344660521,"A_RUSH",10,100,50,5,33,150
880,-1344634970,"A_RUSH",10,100,50,10,40,100
888,-1344610026,"A_RUSH",10,100,50,15,40,200
896,-1344579273,"A_RUSH",10,100,50,25,33,150
904,-1344565979,"A_RUSH",10,100,100,0,40,100
912,-1344541228,"A_RUSH",10,100,100,5,40,200
920,-1344515445,"A_RUSH",10,100,100,15,33,150
928,-1344490290,"A_RUSH",10,100,100,20,40,100
936,-1344465951,"A_RUSH",10,100,100,25,40,200
944,-1344453060,"A_RUSH",10,100,150,5,33,150
952,-1344427721,"A_RUSH",10,100,150,10,40,100
960,-1344402577,"A_RUSH",10,100,150,15,40,200
968,-1344377435,"A_RUSH",10,100,150,25,33,150
976,-1344352495,"A_RUSH",25,60,50,0,40,100
984,-1344327356,"A_RUSH",25,60,50,5,40,200
992,-1344309640,"A_RUSH",25,60,50,15,33,150
1000,-1344283100,"A_RUSH",25,60,50,20,40,100
1008,-1344235486,"A_RUSH",25,60,50,25,40,200
1016,-1344208750,"A_RUSH",25,60,100,5,33,150
1024,-1344183411,"A_RUSH",25,60,100,10,40,100
1032,-1344157672,"A_RUSH",25,60,100,15,40,200
1040,-1344131790,"A_RUSH",25,60,100,25,33,150
1048,-1344106842,"A_RUSH",25,60,150,0,40,100
1056,-1344082099,"A_RUSH",25,60,150,5,40,200
1064,-1344056947,"A_RUSH",25,60,150,15,33,150
1072,-1344031804,"A_RUSH",25,60,150,20,40,100
1080,-1344007459,"A_RUSH",25,60,150,25,40,200
1088,-1343982106,"A_RUSH",25,80,50,5,33,150
1096,-1343968808,"A_RUSH",25,80,50,10,40,100
1104,-1343941466,"A_RUSH",25,80,50,15,40,200
1112,-1343926953,"A_RUSH",25,80,50,25,33,150
1120,-1343871317,"A_RUSH",25,80,100,0,40,100
1128,-1343846781,"A_RUSH",25,80,100,5,40,200
1136,-1343815815,"A_RUSH",25,80,100,15,33,150
1144,-1343791078,"A_RUSH",25,80,100,20,40,100
1152,-1343766746,"A_RUSH",25,80,100,25,40,200
1160,-1343740646,"A_RUSH",25,80,150,5,33,150
1168,-1343715900,"A_RUSH",25,80,150,10,40,100
1176,-1343690752,"A_RUSH",25,80,150,15,40,200
1184,-1343665208,"A_RUSH",25,80,150,25,33,150
1192,-1343640069,"A_RUSH",25,100,50,0,40,100
1200,-1343615120,"A_RUSH",25,100,50,5,40,200
1208,-1343584968,"A_RUSH",25,100,50,15,33,150
1216,-1343561422,"A_RUSH",25,100,50,20,40,100
1224,-1343535895,"A_RUSH",25,100,50,25,40,200
1232,-1343522811,"A_RUSH",25,100,100,5,33,150
1240,-1343497452,"A_RUSH",25,100,100,10,40,100
1248,-1343472308,"A_RUSH",25,100,100,15,40,200
1256,-1343447362,"A_RUSH",25,100,100,25,33,150
1264,-1343421431,"A_RUSH",25,100,150,0,40,100
1272,-1343396473,"A_RUSH",25,100,150,5,40,200
1280,-1343370933,"A_RUSH",25,100,150,15,33,150
