"run","Winner"
8,"CT"
16,"CT"
24,"CT"
32,"CT"
40,"T"
48,"DRAW"
56,"T"
64,"DRAW"
72,"DRAW"
80,"DRAW"
88,"T"
96,"DRAW"
104,"T"
112,"CT"
120,"CT"
128,"DRAW"
136,"CT"
144,"CT"
152,"T"
160,"T"
168,"CT"
176,"CT"
184,"T"
192,"T"
200,"T"
208,"T"
216,"T"
224,"CT"
232,"CT"
240,"CT"
248,"CT"
256,"T"
264,"CT"
272,"CT"
280,"T"
288,"CT"
296,"T"
304,"T"
312,"T"
320,"CT"
328,"CT"
336,"CT"
344,"CT"
352,"CT"
360,"CT"
368,"T"
376,"DRAW"
384,"CT"
392,"DRAW"
400,"T"
408,"T"
416,"T"
424,"T"
432,"DRAW"
440,"CT"
448,"CT"
456,"CT"
464,"CT"
472,"CT"
480,"CT"
488,"DRAW"
496,"T"
504,"CT"
512,"T"
520,"T"
528,"T"
536,"DRAW"
544,"CT"
552,"CT"
560,"CT"
568,"CT"
576,"CT"
584,"CT"
592,"CT"
600,"CT"
608,"CT"
616,"T"
624,"T"
632,"T"
640,"T"
648,"CT"
656,"DRAW"
664,"DRAW"
672,"CT"
680,"DRAW"
688,"T"
696,"T"
704,"T"
712,"T"
720,"T"
728,"T"
736,"T"
744,"T"
752,"T"
760,"T"
768,"DRAW"
776,"CT"
784,"T"
792,"CT"
800,"T"
808,"T"
816,"T"
824,"T"
832,"T"
840,"T"
848,"T"
856,"T"
864,"T"
872,"CT"
880,"T"
888,"T"
896,"T"
904,"T"
912,"T"
920,"T"
928,"T"
936,"CT"
944,"T"
952,"T"
960,"T"
968,"T"
976,"CT"
984,"CT"
992,"CT"
1000,"CT"
1008,"CT"
1016,"T"
1024,"T"
1032,"T"
1040,"T"
1048,"T"
1056,"T"
1064,"T"
1072,"T"
1080,"T"
1088,"CT"
1096,"T"
1104,"T"
1112,"T"
1120,"T"
1128,"T"
1136,"T"
1144,"T"
1152,"T"
1160,"T"
1168,"T"
1176,"T"
1184,"T"
1192,"CT"
1200,"CT"
1208,"CT"
1216,"T"
1224,"CT"
1232,"T"
1240,"T"
1248,"CT"
1256,"T"
1264,"T"
1272,"T"
1280,"T"
1288,"T"
1296,"T"
1304,"CT"
1312,"T"
1320,"DRAW"
1328,"CT"
1336,"T"
1344,"DRAW"
1352,"T"
1360,"T"
1368,"T"
1376,"T"
1384,"T"
1392,"T"
1400,"T"
1408,"CT"
1416,"CT"
1424,"CT"
1432,"DRAW"
1440,"CT"
1448,"T"
1456,"T"
1464,"T"
1472,"T"
1480,"T"
1488,"T"
1496,"DRAW"
1504,"T"
1512,"T"
1520,"DRAW"
1528,"T"
1536,"T"
1544,"CT"
1552,"DRAW"
1560,"T"
1568,"T"
1576,"T"
1584,"T"
1592,"T"
1600,"T"
1608,"CT"
1616,"T"
1624,"T"
1632,"CT"
1640,"CT"
1648,"CT"
1656,"CT"
1664,"T"
1672,"T"
1680,"CT"
1688,"T"
1696,"T"
1704,"T"
1712,"T"
1720,"T"
1728,"CT"
1736,"DRAW"
1744,"DRAW"
1752,"CT"
1760,"CT"
1768,"T"
1776,"CT"
1784,"DRAW"
1792,"T"
1800,"DRAW"
1808,"T"
1816,"T"
1824,"T"
1832,"T"
1840,"DRAW"
1848,"CT"
1856,"CT"
1864,"CT"
1872,"CT"
1880,"T"
1888,"DRAW"
1896,"T"
1904,"CT"
1912,"T"
1920,"T"
1928,"T"
1936,"T"
1944,"T"
1952,"T"
1960,"CT"
1968,"CT"
1976,"CT"
1984,"T"
1992,"T"
2000,"T"
2008,"T"
2016,"T"
2024,"T"
2032,"T"
2040,"T"
2048,"T"
2056,"CT"
2064,"CT"
2072,"CT"
2080,"T"
2088,"DRAW"
2096,"T"
2104,"T"
2112,"T"
2120,"T"
2128,"T"
2136,"T"
2144,"T"
2152,"T"
2160,"T"
2168,"CT"
2176,"T"
2184,"T"
2192,"CT"
2200,"T"
2208,"T"
2216,"T"
2224,"T"
2232,"T"
2240,"T"
2248,"T"
2256,"T"
2264,"T"
2272,"DRAW"
2280,"CT"
2288,"CT"
2296,"CT"
2304,"CT"
2312,"DRAW"
2320,"T"
2328,"T"
2336,"T"
2344,"T"
2352,"T"
2360,"T"
2368,"T"
2376,"T"
2384,"CT"
2392,"CT"
2400,"CT"
2408,"CT"
2416,"T"
2424,"T"
2432,"T"
2440,"T"
2448,"CT"
2456,"T"
2464,"T"
2472,"T"
2480,"T"
2488,"CT"
2496,"CT"
2504,"CT"
2512,"T"
2520,"CT"
2528,"T"
2536,"T"
2544,"CT"
2552,"T"
2560,"T"
2568,"T"
2576,"T"
2584,"T"
2592,"T"
7,"CT"
15,"CT"
23,"CT"
31,"DRAW"
39,"DRAW"
47,"DRAW"
55,"T"
63,"DRAW"
71,"DRAW"
79,"T"
87,"T"
95,"CT"
103,"T"
111,"CT"
119,"CT"
127,"CT"
135,"CT"
143,"CT"
151,"T"
159,"CT"
167,"CT"
175,"T"
183,"T"
191,"T"
199,"T"
207,"DRAW"
215,"T"
223,"T"
231,"CT"
239,"CT"
247,"DRAW"
255,"DRAW"
263,"CT"
271,"T"
279,"T"
287,"CT"
295,"DRAW"
303,"T"
311,"T"
319,"T"
327,"CT"
335,"CT"
343,"CT"
351,"CT"
359,"CT"
367,"DRAW"
375,"CT"
383,"CT"
391,"T"
399,"T"
407,"T"
415,"DRAW"
423,"DRAW"
431,"T"
439,"CT"
447,"CT"
455,"CT"
463,"DRAW"
471,"DRAW"
479,"DRAW"
487,"T"
495,"CT"
503,"DRAW"
511,"DRAW"
519,"T"
527,"DRAW"
535,"T"
543,"CT"
551,"CT"
559,"CT"
567,"CT"
575,"CT"
583,"T"
591,"CT"
599,"CT"
607,"CT"
615,"T"
623,"T"
631,"DRAW"
639,"DRAW"
647,"T"
655,"T"
663,"CT"
671,"CT"
679,"T"
687,"T"
695,"T"
703,"T"
711,"T"
719,"T"
727,"T"
735,"T"
743,"T"
751,"T"
759,"T"
767,"CT"
775,"CT"
783,"CT"
791,"T"
799,"T"
807,"T"
815,"T"
823,"T"
831,"T"
839,"T"
847,"T"
855,"T"
863,"T"
871,"T"
879,"DRAW"
887,"T"
895,"DRAW"
903,"T"
911,"T"
919,"T"
927,"T"
935,"DRAW"
943,"T"
951,"T"
959,"T"
967,"T"
975,"CT"
983,"CT"
991,"T"
999,"CT"
1007,"T"
1015,"T"
1023,"T"
1031,"T"
1039,"T"
1047,"T"
1055,"T"
1063,"T"
1071,"T"
1079,"T"
1087,"T"
1095,"DRAW"
1103,"CT"
1111,"CT"
1119,"T"
1127,"T"
1135,"T"
1143,"T"
1151,"T"
1159,"T"
1167,"T"
1175,"T"
1183,"T"
1191,"CT"
1199,"CT"
1207,"T"
1215,"CT"
1223,"T"
1231,"T"
1239,"T"
1247,"T"
1255,"DRAW"
1263,"T"
1271,"T"
1279,"T"
1287,"T"
1295,"CT"
1303,"CT"
1311,"CT"
1319,"CT"
1327,"DRAW"
1335,"T"
1343,"CT"
1351,"T"
1359,"T"
1367,"T"
1375,"T"
1383,"T"
1391,"T"
1399,"T"
1407,"CT"
1415,"CT"
1423,"CT"
1431,"CT"
1439,"CT"
1447,"T"
1455,"CT"
1463,"DRAW"
1471,"DRAW"
1479,"T"
1487,"T"
1495,"T"
1503,"T"
1511,"T"
1519,"DRAW"
1527,"CT"
1535,"CT"
1543,"DRAW"
1551,"T"
1559,"T"
1567,"T"
1575,"DRAW"
1583,"T"
1591,"T"
1599,"T"
1607,"T"
1615,"T"
1623,"CT"
1631,"CT"
1639,"CT"
1647,"CT"
1655,"CT"
1663,"T"
1671,"CT"
1679,"CT"
1687,"T"
1695,"T"
1703,"T"
1711,"T"
1719,"T"
1727,"T"
1735,"CT"
1743,"CT"
1751,"CT"
1759,"DRAW"
1767,"T"
1775,"CT"
1783,"T"
1791,"T"
1799,"CT"
1807,"T"
1815,"T"
1823,"T"
1831,"T"
1839,"CT"
1847,"CT"
1855,"CT"
1863,"CT"
1871,"DRAW"
1879,"T"
1887,"DRAW"
1895,"CT"
1903,"T"
1911,"T"
1919,"T"
1927,"T"
1935,"T"
1943,"T"
1951,"T"
1959,"CT"
1967,"DRAW"
1975,"T"
1983,"T"
1991,"T"
1999,"T"
2007,"T"
2015,"T"
2023,"T"
2031,"T"
2039,"T"
2047,"T"
2055,"CT"
2063,"T"
2071,"CT"
2079,"T"
2087,"CT"
2095,"T"
2103,"T"
2111,"T"
2119,"T"
2127,"T"
2135,"T"
2143,"T"
2151,"T"
2159,"T"
2167,"T"
2175,"CT"
2183,"T"
2191,"T"
2199,"T"
2207,"T"
2215,"T"
2223,"T"
2231,"T"
2239,"T"
2247,"T"
2255,"T"
2263,"T"
2271,"CT"
2279,"CT"
2287,"DRAW"
2295,"CT"
2303,"CT"
2311,"T"
2319,"T"
2327,"T"
2335,"T"
2343,"T"
2351,"T"
2359,"T"
2367,"T"
2375,"T"
2383,"DRAW"
2391,"DRAW"
2399,"DRAW"
2407,"T"
2415,"T"
2423,"T"
2431,"T"
2439,"T"
2447,"T"
2455,"T"
2463,"T"
2471,"T"
2479,"T"
2487,"DRAW"
2495,"CT"
2503,"CT"
2511,"CT"
2519,"CT"
2527,"T"
2535,"T"
2543,"T"
2551,"T"
2559,"T"
2567,"T"
2575,"T"
2583,"T"
2591,"T"
6,"CT"
14,"CT"
22,"CT"
30,"CT"
38,"T"
46,"T"
54,"CT"
62,"DRAW"
70,"DRAW"
78,"T"
86,"T"
94,"T"
102,"CT"
110,"CT"
118,"CT"
126,"CT"
134,"CT"
142,"CT"
150,"CT"
158,"T"
166,"T"
174,"T"
182,"T"
190,"T"
198,"T"
206,"DRAW"
214,"T"
222,"CT"
230,"CT"
238,"T"
246,"CT"
254,"T"
262,"T"
270,"T"
278,"CT"
286,"CT"
294,"DRAW"
302,"T"
310,"T"
318,"T"
326,"CT"
334,"CT"
342,"CT"
350,"CT"
358,"DRAW"
366,"CT"
374,"CT"
382,"DRAW"
390,"DRAW"
398,"T"
406,"T"
414,"DRAW"
422,"T"
430,"T"
438,"CT"
446,"CT"
454,"CT"
462,"CT"
470,"DRAW"
478,"T"
486,"CT"
494,"DRAW"
502,"T"
510,"T"
518,"T"
526,"T"
534,"DRAW"
542,"CT"
550,"CT"
558,"CT"
566,"CT"
574,"CT"
582,"CT"
590,"DRAW"
598,"CT"
606,"CT"
614,"T"
622,"T"
630,"T"
638,"T"
646,"T"
654,"CT"
662,"T"
670,"T"
678,"DRAW"
686,"T"
694,"T"
702,"T"
710,"T"
718,"T"
726,"T"
734,"T"
742,"T"
750,"T"
758,"DRAW"
766,"DRAW"
774,"CT"
782,"CT"
790,"T"
798,"T"
806,"T"
814,"T"
822,"T"
830,"T"
838,"T"
846,"T"
854,"T"
862,"T"
870,"CT"
878,"CT"
886,"CT"
894,"DRAW"
902,"T"
910,"T"
918,"CT"
926,"T"
934,"T"
942,"T"
950,"T"
958,"T"
966,"T"
974,"CT"
982,"CT"
990,"DRAW"
998,"DRAW"
1006,"CT"
1014,"T"
1022,"T"
1030,"T"
1038,"T"
1046,"T"
1054,"T"
1062,"T"
1070,"T"
1078,"T"
1086,"CT"
1094,"DRAW"
1102,"T"
1110,"CT"
1118,"T"
1126,"T"
1134,"T"
1142,"T"
1150,"T"
1158,"T"
1166,"T"
1174,"T"
1182,"T"
1190,"CT"
1198,"T"
1206,"DRAW"
1214,"T"
1222,"T"
1230,"T"
1238,"T"
1246,"T"
1254,"CT"
1262,"T"
1270,"T"
1278,"T"
1286,"T"
1294,"T"
1302,"CT"
1310,"CT"
1318,"CT"
1326,"CT"
1334,"T"
1342,"T"
1350,"DRAW"
1358,"T"
1366,"DRAW"
1374,"T"
1382,"T"
1390,"T"
1398,"T"
1406,"DRAW"
1414,"CT"
1422,"CT"
1430,"DRAW"
1438,"CT"
1446,"T"
1454,"T"
1462,"T"
1470,"T"
1478,"T"
1486,"T"
1494,"T"
1502,"T"
1510,"T"
1518,"CT"
1526,"CT"
1534,"T"
1542,"CT"
1550,"T"
1558,"DRAW"
1566,"CT"
1574,"T"
1582,"DRAW"
1590,"T"
1598,"T"
1606,"T"
1614,"T"
1622,"CT"
1630,"CT"
1638,"CT"
1646,"CT"
1654,"T"
1662,"T"
1670,"DRAW"
1678,"T"
1686,"T"
1694,"T"
1702,"T"
1710,"T"
1718,"T"
1726,"T"
1734,"CT"
1742,"CT"
1750,"CT"
1758,"DRAW"
1766,"T"
1774,"T"
1782,"DRAW"
1790,"T"
1798,"T"
1806,"T"
1814,"T"
1822,"T"
1830,"T"
1838,"CT"
1846,"DRAW"
1854,"CT"
1862,"CT"
1870,"T"
1878,"DRAW"
1886,"T"
1894,"T"
1902,"CT"
1910,"T"
1918,"T"
1926,"T"
1934,"T"
1942,"T"
1950,"CT"
1958,"CT"
1966,"T"
1974,"DRAW"
1982,"T"
1990,"T"
1998,"T"
2006,"T"
2014,"T"
2022,"T"
2030,"T"
2038,"T"
2046,"T"
2054,"CT"
2062,"T"
2070,"DRAW"
2078,"DRAW"
2086,"CT"
2094,"T"
2102,"T"
2110,"T"
2118,"T"
2126,"T"
2134,"T"
2142,"T"
2150,"T"
2158,"T"
2166,"DRAW"
2174,"CT"
2182,"DRAW"
2190,"DRAW"
2198,"T"
2206,"T"
2214,"T"
2222,"CT"
2230,"T"
2238,"T"
2246,"T"
2254,"T"
2262,"T"
2270,"CT"
2278,"CT"
2286,"CT"
2294,"CT"
2302,"T"
2310,"T"
2318,"T"
2326,"T"
2334,"T"
2342,"T"
2350,"T"
2358,"T"
2366,"T"
2374,"T"
2382,"CT"
2390,"CT"
2398,"DRAW"
2406,"CT"
2414,"T"
2422,"T"
2430,"T"
2438,"T"
2446,"T"
2454,"T"
2462,"T"
2470,"T"
2478,"T"
2486,"CT"
2494,"CT"
2502,"CT"
2510,"CT"
2518,"DRAW"
2526,"CT"
2534,"T"
2542,"T"
2550,"DRAW"
2558,"T"
2566,"T"
2574,"T"
2582,"T"
2590,"T"
5,"CT"
13,"CT"
